"filename", "language", "C++", "compressionTargetFile", "Makefile", "comment", "blank", "total"
"/Users/kai/Desktop/Coding/C++Projects/Space/Makefile", "Makefile", 0, 0, 19, 7, 10, 36
"/Users/kai/Desktop/Coding/C++Projects/Space/graphics/energyLeftFacing.png", "compressionTargetFile", 0, 45, 0, 0, 0, 45
"/Users/kai/Desktop/Coding/C++Projects/Space/graphics/energyRightFacing.png", "compressionTargetFile", 0, 56, 0, 0, 0, 56
"/Users/kai/Desktop/Coding/C++Projects/Space/graphics/space.png", "compressionTargetFile", 0, 35800, 0, 0, 242, 36042
"/Users/kai/Desktop/Coding/C++Projects/Space/graphics/spaceship_red.png", "compressionTargetFile", 0, 7, 0, 0, 0, 7
"/Users/kai/Desktop/Coding/C++Projects/Space/graphics/spaceship_yellow.png", "compressionTargetFile", 0, 4, 0, 0, 0, 4
"/Users/kai/Desktop/Coding/C++Projects/Space/include/AIController.hpp", "C++", 50, 0, 0, 0, 18, 68
"/Users/kai/Desktop/Coding/C++Projects/Space/include/Button.hpp", "C++", 18, 0, 0, 0, 5, 23
"/Users/kai/Desktop/Coding/C++Projects/Space/include/Game.hpp", "C++", 49, 0, 0, 0, 13, 62
"/Users/kai/Desktop/Coding/C++Projects/Space/include/IController.hpp", "C++", 14, 0, 0, 0, 3, 17
"/Users/kai/Desktop/Coding/C++Projects/Space/include/PlayerController.hpp", "C++", 17, 0, 0, 0, 6, 23
"/Users/kai/Desktop/Coding/C++Projects/Space/include/ResourceManager.hpp", "C++", 20, 0, 0, 2, 8, 30
"/Users/kai/Desktop/Coding/C++Projects/Space/include/config.h", "C++", 7, 0, 0, 0, 2, 9
"/Users/kai/Desktop/Coding/C++Projects/Space/include/mathUtils.hpp", "C++", 6, 0, 0, 0, 1, 7
"/Users/kai/Desktop/Coding/C++Projects/Space/include/spaceship.hpp", "C++", 57, 0, 0, 0, 7, 64
"/Users/kai/Desktop/Coding/C++Projects/Space/include/weapons.hpp", "C++", 35, 0, 0, 0, 10, 45
"/Users/kai/Desktop/Coding/C++Projects/Space/src/AIController.cpp", "C++", 287, 0, 0, 3, 76, 366
"/Users/kai/Desktop/Coding/C++Projects/Space/src/Button.cpp", "C++", 37, 0, 0, 0, 10, 47
"/Users/kai/Desktop/Coding/C++Projects/Space/src/Game.cpp", "C++", 189, 0, 0, 4, 45, 238
"/Users/kai/Desktop/Coding/C++Projects/Space/src/PlayerController.cpp", "C++", 25, 0, 0, 0, 7, 32
"/Users/kai/Desktop/Coding/C++Projects/Space/src/ResourceManager.cpp", "C++", 37, 0, 0, 0, 12, 49
"/Users/kai/Desktop/Coding/C++Projects/Space/src/main.cpp", "C++", 6, 0, 0, 0, 1, 7
"/Users/kai/Desktop/Coding/C++Projects/Space/src/mathUtils.cpp", "C++", 14, 0, 0, 0, 5, 19
"/Users/kai/Desktop/Coding/C++Projects/Space/src/spaceship.cpp", "C++", 225, 0, 0, 5, 43, 273
"/Users/kai/Desktop/Coding/C++Projects/Space/src/weapons.cpp", "C++", 48, 0, 0, 2, 16, 66
"Total", "-", 1141, 35912, 19, 23, 540, 37635
